App Name,Skill(s),Product(s),Description,Resource Type ,Resource Links,Website URL (if applicable):,Resources,Audit Date
RetroReport,"Research, Planning",,"A nonprofit documentary news organization that produces short films and educational resources to connect historical events with current news.
- Explore by topic or subject. 
- Lesson plans are included and the videos are about 10 minutes long.
- Subject areas include Science, US History, World History, Psychology, Geography, Civics & Government, Media and - News Literacy, and Environment.
Check out RetroReport and create a free account using your school email.",Website,"Video: Retro Report in the Classroom
RetroReport YouTube Channel",[RetroReport](https://retroreport.org/),Loading...,
Revision History Chrome Extension,,,,,,,,
Scaffold Learning,Planning,,"6 Ways to Scaffold Learning
How can you get students from “confusion to clarity?”
1. Clarity - Make instructions brief and ultra-clear.  Simplify, simplify, simplify with headings and annotations directed to key points.
2. Fill in Background Knowledge - Help students learn key terms through word walls, vocab games, KWL activities to connect what they know to new content.  
3. Multiple Representations - Provide students opportunities to interact with the content in written, picture, diagram, video, ... form.
4. Graphic Organizers/Anchor Charts - Boost comprehension/retention with a thoughtful visual scaffold that highlights key ideas/ concepts.
5. Pre-Lesson Activities - A practice quiz BEFORE the learning helps students organize thoughts, spark curiosity, and encourage educated guesses as to the right answer.
6. Ask Metacognitive ?s -  Help students become more independent by asking them: What stands out? What parts are unfamiliar?, What ?s do I have?",Strategy,6 Foundational Ways to Scaffold Student Learning,,Loading...,
SchoolAI,"AI (Artificial intelligence), Critical Thinking, Digital Literacy, Research","Visual, Writing","A specialized AI platform that creates safe, supervised ""spaces"" for students to interact with AI tutors. It promotes critical thinking and personalized writing feedback in a controlled environment where teachers can monitor all prompts and responses.",App - Web-based,,[SchoolAI](https://schoolai.com/),,
Screencastify,"Communication, Collaboration (WICOR)","Visual, Auditory, Performance",A screen recording tool that enhances communication by letting students explain their thought processes. It is excellent for reflecting on critical thinking or providing tutorials for peers.,App - Web-based,,[Screencastify](https://www.screencastify.com/),,
Sketchnote,"Creativity/Design, Organization (WICOR), Critical Thinking",Visual,"A creative way to take notes using words, visuals, and symbols turning note-taking into a visual and memorable experience.
- Start with a blank page.
- Use simple icons and drawings to represent key ideas.
- Combine headings, bullet points, arrows, and borders to organize information.
- Highlight main concepts with bold text, colors, or shapes.
- Use hierarchy by making important words larger or in bold.
- Add connectors; arrows or lines to show relationships
- Keep it simple and clear - it is about understanding, not perfection.
- Leave space for adding details later.
- Use symbols (lightbulb = ideas, star = important, question mark = unclear).
- Review and refine after the lesson to complete missing parts.
Use Sketchnote during lectures, while reading, for review, as a processing tool, for presentations, or as a reflection
Sketchnote increases focus and engagement, helps with memory retention, supports visual learners, allows for creativity, and encourages critical thinking by prioritizing key ideas",Strategy,"Video: Sketchnotes for Classrooms: Why, how, and tips
Example Sketchnotes",[Sketchnote](https://rohdesign.com/sketchnotes),Loading...,
SlidesGo AI Presentation Maker,,,,,,,,
Smithsonian Educator Resources and Learning Lab,"Critical Thinking, Research",,"A vast repository for research and digital literacy, allowing students to curate their own ""labs"" of artifacts. It fosters organization skills as students assemble primary sources for projects. Formerly TweenTribune",Website,,Loading...,,
Snorkl,"Critical Thinking, Communication",,"A tool that uses AI to provide feedback on student ""think-alouds"" and whiteboard recordings. it makes student critical thinking visible and helps teachers analyze the logic behind an answer.",App - Web-based,,[Snorkl](https://snorkl.app/),,
Snorkl AI,"AI (Artificial intelligence), Critical Thinking, Digital Literacy, Communication, Creativity/Design","Auditory, Visual","Snorkl is an AI-powered tool that lets students explain their thinking through voice recordings, drawings, or text. AI gives instant feedback on their reasoning, while teachers get a dashboard that highlights student understanding, misconceptions, and growth over time.

Use it for . . .
- Think-Alouds: Students record explanations or show work on a digital whiteboard.
- Formative Checks: Snorkl identifies patterns and misconceptions in student responses.
- Differentiation: Students choose voice, text, or drawing; AI feedback adapts to their level.
- Peer Learning: Students can view anonymous examples to learn from strong explanations.

Open Snorkl and sign in with Google, create classes, assign prompts or activities, and students join your class with a code.  Choose a ready-made activity or create your own. ",App - Web-based,"Video: Getting Started with Snorkl
Video: Snorkl! Your New Favorite AI Tool for Student Feedback",[Snorkl AI](https://snorkl.app/),"[Video: Getting Started with Snorkl
](https://youtu.be/my3_Ma3UJvc?si=sBp1dHsyeOR1zwPZ)
[Video: Snorkl! Your New Favorite AI Tool for Student Feedback](https://youtu.be/Rl0A_xmqF9k?si=goP9frjd2A9npHIx)",
Social Media Templates,"Creativity/Design, Critical Thinking","Visual, Writing",". . . for TikTok, Instagram, Snapchat, X, Facebook, and more offer students a way to show their learning in formats they know. They can . . .
- summarize their daily learning, 
- review content, 
- compare and contrast viewpoints, and
- make connections between concepts.

Lesson Ideas - 
Make a Facebook profile for an author, historical figure, leader, etc.. Include posts, friends, interests, and memories
Make a 60-sec TikTok explainer video (ie. voter registration, identify a scam, etc..)
Make an X thread related to healthy eating habits, phases of mitosis, etc..
Keep a Snapchat journal to periodically reflect on your learning and/or wellbeing
Make a series of Instagram posts for unit review - include images/captions and comments.",Website,,"[Social Media Templates](https://ditchthattextbook.com/resources/templates/#:~:text=of%20Year%20Templates-,Social%20Media%20Templates,-Airbnb%20Template%C2%A0)",,
Station Rotation,"Collaboration (WICOR), Critical Thinking, Time Management","Visual, Auditory, Writing, Performance","Keep students engaged in multiple activities (usually a mix of offline and online) and provides time for practice, preview, review, collaboration, choice, small group or individual teacher time.",Strategy,"Video: How and Why to Integrate Station Rotation into Your Classroom
Station Rotation: Save Time, Engage Students
Video: Station Rotation - Differentiating Instruction to Reach All Students",,"[Video: How and Why to Integrate Station Rotation into Your Classroom
Station Rotation: Save Time, Engage Students
](https://ditchthattextbook.com/station-rotation/)
[Video: Station Rotation - Differentiating Instruction to Reach All Students](https://youtu.be/Kg38A1ggYiE?si=epsIdMsglWmbHKDO)",
Suno,"Creativity/Design, Critical Thinking","Auditory, Performance","A generative AI tool for music, fostering creativity by allowing students to turn text prompts into original songs. It can be used to improve recall by turning academic facts into catchy lyrics. For teacher use only.",App - Web-based,,[Suno](https://suno.com/),,
Suno AI,"AI (Artificial intelligence), Critical Thinking, Digital Literacy, Recall (Interactive games)",Auditory,"Songs are catchy and memorable.  With Suno, you can create a song in minutes by . . 
- Entering a short description of your content - or even better - pasting in lyrics - created by you or the students - related to your content (ie. the process of mitosis, the branches of govt, or parts of speech)
- Adding a music genre (ie. 80s rock) 
Voilà, your song is created! Limit 10 songs/day. You can share and download it too!",App - Web-based,Video: AI Tool Demo for Teachers - Making Music with Suno,[Suno AI](https://suno.com/home),[Video: AI Tool Demo for Teachers - Making Music with Suno](https://www.youtube.com/watch?v=f7fW5P9IaBw),
Swivl Robot,"Communication, Data Analysis",Performance,"How do athletes IMPROVE?  They watch themselves on video . . so can your students.
Students can record themselves presenting something and watch it back to learn how they can improve their communication (both verbal and nonverbal), their pacing, tone, volume, inflection, posture, and much more.",App - Web-based,Video: Using Swivl Robot for Classroom Observations ,[Swivl Robot](https://www.swivl.com/),[Video: Using Swivl Robot for Classroom Observations ](https://www.youtube.com/watch?v=Pa_etQPGzv4),
Talk Detectives,"Communication, Critical Thinking",,Improve the quality of group discussions with a checklist that students use as they actively listen to their peers.  Students write down what they hear on the checklist.,Strategy,"Video Tutorial
Talk Detectives Template",,"[Video Tutorial
](https://youtu.be/juR87aAg4vM)
[Talk Detectives Template](https://docs.google.com/document/d/1z6WC2-4hFRtV0Ica2_D_Ve-jZEJTlZnPEIBWStmDPwk/template/preview)",
Talk Moves,"Critical Thinking, Communication, SEL (Social emotional learning)",Performance,"
We all cherish moments when we walk around the room and hear students having robust conversations about the topic of the day.  Copy, cut out, and paste these Talk Moves on desks to develop students’ interpersonal communication skills.",Strategy,"Video: Encourage Academic Conversations with Talk Moves
Talk Moves Template",[Talk Moves](https://drive.google.com/file/d/1hXL3tAIpYjGKdjrY2HmZPzsjmQ2nRoIn/view?usp=sharing),"[Video: Encourage Academic Conversations with Talk Moves
](https://www.youtube.com/watch?v=kSI4imt0dXg)
[Talk Moves Template](https://drive.google.com/file/d/1hXL3tAIpYjGKdjrY2HmZPzsjmQ2nRoIn/view?usp=sharing)",
TED-Ed,"Critical Thinking, Writing (WICOR)",Writing,A platform for research and communication that provides high-quality educational videos and lesson plans. It encourages critical thinking through deep-dive questions and further reading resources.,Website,,[TED-Ed](https://ed.ted.com/),,
The Internet Archive,,,,,,,,
The STRIDE Method for Word Problems,"Organization (WICOR), Critical Thinking, Problem-Solving",Writing,"Help students organize their thinking with the STRIDE Method –-
S - Survey the Problem - Read the entire problem to understand the story/context. Identify (circle/underline) all important info.  What is it asking?
T - Think About Connections  - Connect the problem to what you already know. Visualize/Draw and label the situation.
R - Reflect on the Questions - What specifically is the problem asking me to find?  What will the answer look like? Rephrase the ?
I - Identify a Strategy - What steps, operations, or procedures will help solve the problem?
D - Do the Work - Carry out your strategy.  Show your work clearly with reasoning to track your thinking process and review later.
E - Evaluate Your Answer - Check your final answer.  Does it make sense in the context of the situation?  If it does not make sense, revisit your understanding and/or strategy.",Strategy,Tackle Word Problems in STRIDE,,[Tackle Word Problems in STRIDE](https://blog.tcea.org/tackle-word-problems-in-stride/),
Think-Pair-Share,"Collaboration (WICOR), Communication, Critical Thinking","Performance, Writing","A classic strategy for sharing ideas in an organized way.  This strategy . . . 
- requires no prep, 
- helps students become better communicators and collaborators, and
provides formative assessment data for the teacher.  """,Strategy,"Video: How to Do a Think-Pair-Share
In Praise of Think-Pair-Share",,"[Video: How to Do a Think-Pair-Share
](https://youtu.be/vxMOl2Vnw54?si=ZaDRzh6EF_OUS6EH)
[In Praise of Think-Pair-Share](https://www.cultofpedagogy.com/think-pair-share/)",
Three Question Interview Strategy,"Communication, Critical Thinking, Creativity/Design",Performance,"Students actively learn through peer interviews. It reinforces lesson content, promotes movement, engagement, and deeper content understanding.
Divide the Class into 2 Groups (A & B)
Provide Questions:
- Give Group A two questions from the lesson.
- Give Group B two different questions.
- Have each student create one original question based on the material.
Partner Up:
- Group A student partners with a Group B student.
- Partners ask and answer their first question (1 minute each), then switch partners to answer the second question.
Class Discussion:
- After each question is answered, students return to their seats.
- Review answers and ask students to share their original questions.
Reflection:
- Use student responses to assess understanding and clarify key concepts.",Strategy,Video: Three Question Interview - Classroom Strategy,,[Video: Three Question Interview - Classroom Strategy](https://youtu.be/w0Lg0syNdkg?si=g2Kqdwab4RcTAKef),
Three-Step Interviews,"Communication, Critical Thinking, SEL (Social emotional learning)","Auditory, Performance","Allows students opportunities to apply different questioning strategies and reflect on understanding. They take turns acting as the interviewer, interviewee, and reporter, promoting active engagement and deep reflection. 
It helps students -
- Develop questioning skills
- Practice active listening
- Enhance reflective thinking
- Build interpersonal communication skills
Learning benefits - 
- Promotes multi-perspective understanding
- Encourages critical thinking
- Develops empathy
- Provides structured interaction
- Allows learners to experience different communication roles",Strategy,Video: Three-Step Interview,[Three-Step Interviews](https://k12teacherstaffdevelopment.com/tlb/the-three-step-interview-learning-strategy-in-the-classroom/),[Video: Three-Step Interview](https://youtu.be/6qNKBjcA590?si=QQZvWCaEc-zP_b8f),
Thumbs-Up Response,,,,,,,,
TimelineJS,,,,,,,,
Tinkercad,"Critical Thinking, Creativity/Design, Problem-Solving",Visual,A 3D design tool that fosters creativity and spatial planning. It introduces students to engineering concepts and critical thinking through hands-on digital prototyping.,App - Web-based,,[Tinkercad](https://www.tinkercad.com/),,
Virtual Field Trips,"Communication, Inquiry (WICOR)",,,Website,"49 Amazing Educational Virtual Field Trips
30 Awesome Virtual Field Trips to Bring the World Into Your Classroom
Parks (CA PORTS), Museums, and Zoos
Virtual Programs
5 Tips for Creating an Effective Virtual Field Trip",,"[49 Amazing Educational Virtual Field Trips
](https://www.weareteachers.com/best-virtual-field-trips/)
[30 Awesome Virtual Field Trips to Bring the World Into Your Classroom](https://www.boredteachers.com/post/virtual-field-trips)

[Parks (CA PORTS), Museums, and Zoos](https://www.cilc.org/educators/Find-Programs.aspx?searchtext=+&searchmode=anyword&smartsearchfilter=0&smartsearchtopics=0&smartsearchk5checkbox=&smartsearchsixeightcheckbox=&smartsearchninetwelvecheckbox=0)

[Virtual Programs
](https://wpvip.edutopia.org/wp-content/uploads/2022/10/Edutopia-Copy-Virtual-Programs-22_23-Sheet1.pdf)
[5 Tips for Creating an Effective Virtual Field Trip](https://www.edutopia.org/article/5-tips-creating-effective-virtual-field-trip/)",
Virtual Field Trips,Planning,N/A,"What better way to wrap up the school year than with a virtual field trip?  A bit of prep but free, highly engaging, and interactive! Some “trips” are live and some are recorded.  Make a plan by . . . 
1. Reviewing field trip opportunities and aligning them with your curriculum.  Check out parks (CA PORTS), museums, zoos, and more.  Here are 45 amazing ideas! And 30 more
2. Schedule a date with the tour guide or share the video tour link with your students.
3. Design your lesson - Have students do background research and prep ?s in advance. Many tours have ready-made materials.
4. Execute the lesson - Ask students to reflect on the experience and their learning.",Website,"5 Tips for Creating an Effective Virtual Field Trip 
Video: Your Student Can Visit 15 Amazing Places Without Leaving School
Video: Virtual Field Trips for Kids
Virtual Trips to Parks - spreadsheet
Virtual Field Trips to museums, zoos, and more - CILC search tool
45 Amazing Educational Virtual Field Trips
30 Awesome Virtual Field Trips",,"[5 Tips for Creating an Effective Virtual Field Trip](https://www.edutopia.org/article/5-tips-creating-effective-virtual-field-trip/)
 [
](https://www.youtube.com/watch?v=XoYGpsAa9nU)
[Video: Your Student Can Visit 15 Amazing Places Without Leaving School
](https://www.youtube.com/watch?v=XoYGpsAa9nU)
[Video: Virtual Field Trips for Kids
](https://www.youtube.com/watch?v=IemeM0rrPIE)
[Virtual Trips to Parks - spreadsheet
](https://wpvip.edutopia.org/wp-content/uploads/2022/10/Edutopia-Copy-Virtual-Programs-22_23-Sheet1.pdf)
[Virtual Field Trips to museums, zoos, and more - CILC search tool
](https://www.cilc.org/educators/Find-Programs.aspx?searchtext=+&searchmode=anyword&smartsearchfilter=0&smartsearchtopics=0&smartsearchk5checkbox=&smartsearchsixeightcheckbox=&smartsearchninetwelvecheckbox=0)
[45 Amazing Educational Virtual Field Trips](https://www.weareteachers.com/best-virtual-field-trips/)

[30 Awesome Virtual Field Trips](https://www.boredteachers.com/post/virtual-field-trips)",
Wayground (fka Quizizz),Recall (Interactive games),N/A,"Formerly Quizizz, this platform uses AI to generate assessments and personalized learning paths. It supports recall through gamified quizzes while providing teachers with instant data analysis.",App - Web-based,,[Wayground (fka Quizizz)](https://wayground.com/),,
Ways to Help Students Start Their Work,,,,,,,,
WeVideo,"Communication, Critical Thinking",Visual,"An excellent tool for students to create multimedia projects, fostering creativity while enhancing their communication and critical thinking skills. As a teacher, you can easily set up classes, invite students to join, and assign them to groups, enabling seamless collaboration on projects. This setup also allows you to monitor and access their work effortlessly. Learn how to set up classes with this video.",App - Classlink,Video: WeVideo Tutorial 2026 - How to Use WeVideo for Beginners,[WeVideo](https://www.wevideo.com/),[Video: WeVideo Tutorial 2026 - How to Use WeVideo for Beginners](https://youtu.be/7aaY4yn19w8?si=Pu64DsNILTaoq86H),
WeVideo (Division-sponsored),"Collaboration (WICOR), Communication, Creativity/Design","Visual, Auditory, Performance",A video editor that fosters creativity/design and communication by allowing students to produce professional-quality videos. Students can collaborate on projects.,App - Classlink,,[WeVideo (Division-sponsored)](https://www.wevideo.com/partners),,
WeWillWrite,"Critical Thinking, Communication, Collaboration (WICOR), Writing (WICOR)",,"A collaborative, gamified writing platform where students respond to prompts in short bursts. It uses AI to analyze literary devices and fosters communication through peer voting.",App - Web-based,"Video: WeWillWrite Intro
Fun, Low Stakes Game-ified Student Writing 
WeWillWrite YouTube Channel",[WeWillWrite](https://wewillwrite.com/),"[Video: WeWillWrite Intro
](https://www.youtube.com/watch?v=w3M1MtXQ3qE)
[Fun, Low Stakes Game-ified Student Writing](https://ditchthattextbook.com/wewillwrite/)
 
[WeWillWrite YouTube Channel](https://www.youtube.com/@WeWillWrite)",
"""Iron Chef"" EduProtocol","Communication, Collaboration (WICOR), Creativity/Design, Critical Thinking, Research","Performance, Visual","In small groups (3-4), students respond to a prompt on a shared Google slide (see template in resources) and then do a short presentation to teach the class what they have learned - similar to a jigsaw.

Sample prompts for different groups for . . .Science
- Describe the first phase of photosynthesis. 
- Describe the second phase of photosynthesis?
- What parts of the cell are involved in photosynthesis?
- What is ATP?  Explain the parts.

Sample prompts for different groups for . . .Social Studies 
- List some reasons why countries go to war.  Explain each one.
- What was the political and economic situation in Germany before WWII?
- What sparked WWII and why?
- Describe the alliances formed between countries in WWII.
- Describe the weaponry and tactics used in WWII.",Strategy,"Video: Iron Chef Lesson
Video: Iron Chef 101
Iron Chef Lesson Google Slides Template","[""Iron Chef"" EduProtocol](https://www.eduprotocols.com/ironchef)","[Video: Iron Chef Lesson
](https://www.youtube.com/watch?v=yMm1hEFz9wQ)
[Video: Iron Chef 101
](https://www.youtube.com/watch?v=zasXxrwoLdw)
[Iron Chef Lesson Google Slides Template](https://docs.google.com/presentation/d/1ByEv6S5poxL40qN6_9Y2LGkIurOttvyZcySw4ccG1cM/template/preview)",
"""Stop Thinking For Students"" Strategies",,,,,,,,
10-2-2: Updating Notes Method,"Collaboration (WICOR), Critical Thinking",Writing,"Updating Notes takes minimal preparation and it is a great way to use the 
Here’s how to do it:
- Lecture for 10 minutes
- Give students 2 minutes to share and compare their notes with a partner (collaboration).
- Give students 2 minutes to make revisions in their notes.

This technique allows students to take a break from listening, reflect, interact with peers, fill in gaps, develop joint questions as well as encouraging them to create better notes.",Strategy,"Video: 10-2-2 Method
10-2-2 Notetaking Structure
10-2-2 Presentation Method
10-2-2 AVID strategy from AVID/WICOR Google Site",,"[Video: 10-2-2 Method
](https://www.youtube.com/watch?v=7nGK-QFv9Po)
[10-2-2 Notetaking Structure
](https://drive.google.com/file/d/1rtk911wi_eExI05tjZSYlnlxYerLpiWQ/view?usp=sharing)
[10-2-2 Presentation Method](https://sites.google.com/a/isd271.org/bps-avid/avid-strategies/community-building-sel-tools#h.jen4vmcj804t)
[
](https://sites.google.com/vbschools.com/khswicor/collaboration#h.rryd0fctl6yq)
[10-2-2 AVID strategy from AVID/WICOR Google Site](https://sites.google.com/vbschools.com/khswicor/collaboration#h.rryd0fctl6yq)",
10-Day Gratitude Journal,"Writing (WICOR), SEL (Social emotional learning), Communication",Writing,"Practicing gratitude has powerful benefits for students including better mental health, greater resilience, stronger social connections, stress reduction, and a more positive mindset about the future.
A Gratitude Journal is a personal reflection (ungraded) with brief entries and optional sharing with peers or the whole class.
This article lists gratitude prompts for 15 days, but this can be shortened as needed.  Each week has a theme . . .
- Week 1: Reflecting on Our School Year\
- Week 2: Appreciating Our Present
- Week 3: Looking Forward with Gratitude
It also has activity ideas such as a gratitude circle, gratitude wall, thank-you letter writing, gratitude quotes, and even planting a gratitude garden. 
Students can continue this journal over the summer to benefit and grow even more",Strategy,End the Year with Gratitude: A 15-Day Journal Practice for Students,,[End the Year with Gratitude: A 15-Day Journal Practice for Students](https://blog.tcea.org/end-school-year-with-gratitude-15-day-journal-practice-for-students/),
6 Ways to Capture Student Attention,Planning,,"Today’s students crave constant stimulation and entertainment. Ideas to draw them in include -  Read the article for examples.
1. Surprise Them - Add novelty or something unusual/unexpected to arouse curiosity 😲.  Could be a song, odd clothes/accessory.
2. Present Odd Facts, Anomalies - Give students info that contradicts their intuition or a live demo that defies logic 🤯.
3. Invite Student Predictions - Students guess what will happen and eagerly anticipate the “Big Reveal” 😅.
4. Pose a Provocative (Hook) ? - Seek out a burning, open-ended question related to your lesson content. Students will 🤔.
5. Cite a Current Event/Issue - Raise awareness of breaking news 📰 relevant to them. Ask for their reaction/opinion.
6. Be Humorous - Use a funny joke 😂, meme, cartoon, comic strip, song, or video to give students a shot of dopamine and segue into your lesson with momentum.",Strategy,,[6 Ways to Capture Student Attention](https://www.edutopia.org/article/strategies-capture-students-attention),,
Whiteboard Relay,,,,,,,,
Word Sneak Vocabulary Game,,,,,,,,
Would You Rather? Question Generator,,,,,,,,